player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
283,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,60,0,0,1,0.36,0.01,0,1,1,1,15,6,0.0,0.0,2,0,0.0,1,0.0,0,0,1,0,0,0,0,2,0,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,24,0,0,0,0.0,0.09,0,0,0,2,14,7,0.0,1.0,2,0,0.0,1,0.0,0,2,1,0,0,0,0,2,0,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,15,0,0,1,0.82,0.06,0,1,1,3,8,3,0.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,2,0,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,88,0,0,1,0.05,0.54,0,1,0,3,37,16,0.0,2.0,3,0,0.0,0,0.0,0,1,2,0,2,2,0,2,3,2,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,90,0,0,0,0.0,0.01,0,0,0,0,66,44,0.0,0.0,5,0,0.0,4,0.0,0,0,4,0,10,8,0,2,4,1,0.0,1,0.0,0,4,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,90,0,0,1,0.1,0.0,1,1,0,0,69,36,0.0,0.0,4,0,0.0,0,0.0,0,0,6,1,2,2,1,6,10,6,0.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.08,4,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,90,0,0,1,0.03,0.02,0,1,0,7,35,10,0.0,1.0,3,0,0.0,0,0.0,0,1,1,0,3,3,1,5,7,2,0.0,3,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
709,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,75,0,0,1,0.65,0.01,0,0,1,1,57,43,0.0,0.0,4,0,0.0,3,0.0,0,1,0,1,6,3,2,1,2,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,66,0,0,1,0.09,0.02,0,0,0,4,30,12,0.0,0.0,4,0,0.0,1,0.0,0,1,2,0,1,1,1,3,11,2,0.0,1,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,90,0,0,0,0.0,0.04,0,0,0,2,50,22,0.0,0.0,5,1,0.0,1,0.0,0,1,1,0,2,0,0,1,3,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,24,0,0,1,0.11,0.01,0,0,0,1,20,10,0.0,0.0,2,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,9,0,0,0,0.0,0.0,0,0,0,0,6,3,0.0,0.0,0,0,0.0,0,0.0,0,1,0,0,1,0,0,0,2,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,2,0,0,0,0.0,0.0,0,1,0,0,7,6,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,1,1,1,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,9,0,0,0,0.0,0.02,0,0,0,0,9,2,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,25-26-prem-wolverhampton-wanderers-vs-crystal-palace,7,0,0,0,0.0,0.0,0,0,0,0,6,2,0.0,0.0,0,0,0.0,0,0.0,0,1,0,0,1,0,0,1,1,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,25-26-prem-manchester-united-vs-everton,90,0,0,0,0.0,0.01,0,0,0,0,54,22,0.0,0.0,11,0,0.0,16,0.0,0,0,9,0,2,0,0,0,0,0,0.0,0,0.0,0,0,6,0,1.85,1.85,2,22,16,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,25-26-prem-manchester-united-vs-everton,88,1,0,1,0.1,0.01,1,2,0,1,54,23,0.0,1.0,4,0,0.0,0,0.0,0,1,5,0,6,1,1,6,4,6,0.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.42,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,25-26-prem-manchester-united-vs-everton,90,0,0,5,0.34,0.3,1,0,1,3,116,90,0.0,2.0,18,1,0.0,7,0.0,0,1,7,0,2,1,1,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.1,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,25-26-prem-manchester-united-vs-everton,90,0,0,1,0.07,0.0,0,0,0,3,33,15,0.0,0.0,1,0,0.0,1,0.0,0,2,2,2,7,2,0,5,3,2,0.0,3,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,25-26-prem-manchester-united-vs-everton,90,0,0,0,0.0,0.42,0,0,0,3,110,88,0.0,3.0,13,0,0.0,2,0.0,0,1,4,0,1,1,1,6,8,4,0.0,2,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,4,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,25-26-prem-manchester-united-vs-everton,90,0,0,0,0.0,0.02,0,0,0,0,58,19,0.0,0.0,5,0,0.0,2,0.0,0,1,2,0,8,2,0,1,1,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,25-26-prem-manchester-united-vs-everton,90,0,0,0,0.0,0.06,0,0,0,3,31,10,0.0,1.0,1,0,0.0,1,0.0,0,2,2,3,9,5,1,2,7,0,0.0,2,0.0,0,4,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,25-26-prem-manchester-united-vs-everton,81,0,0,0,0.0,0.01,0,1,0,1,37,15,0.0,0.0,6,0,0.0,0,0.0,0,0,3,0,2,2,1,15,11,1,0.0,14,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,25-26-prem-manchester-united-vs-everton,32,0,0,0,0.0,0.04,0,0,0,1,28,21,0.0,1.0,2,0,0.0,0,0.0,0,0,3,0,2,2,0,3,1,2,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
